product_id,product_name,category,sub_category,brand,price,cost,created_at,color
1,ClassicFit Durable Stretch Denim,Clothing,Kids,ClassicFit,25.66,12.96,2024-07-18 23:33:16,Blue
2,FunKids STEM Language Learning Game,Toys,Educational,FunKids,30.32,18.5,2025-03-23 23:33:16,Green
3,ImaginePlay Durable Bubble Machine,Toys,Outdoor,ImaginePlay,18.05,10.81,2025-01-17 23:33:16,Pink
4,WellnessWorks Complete Vitamin C Gummies,Health & Beauty,Supplements,WellnessWorks,24.38,10.49,2024-12-28 23:33:16,
5,EduPress Engaging Bedtime Stories,Books,Children's,EduPress,21.29,12.65,2024-12-15 23:33:16,
6,FunKids Weatherproof Water Blaster Pack,Toys,Outdoor,FunKids,26.5,16.29,2025-08-09 23:33:16,Blue
7,FurryFriends Durable Feather Wand Toy,Pet Supplies,Toys,FurryFriends,5.14,2.68,2024-12-04 23:33:16,Multi-Color
8,HomeEssentials Heavy-Duty Multi-Tool Set,Home & Garden,Tools,HomeEssentials,95.66,62.39,2025-08-13 23:33:16,Silver
9,Literary Press Award-Winning Graphic Memoirs,Books,Comics & Graphic Novels,Literary Press,21.63,12.17,2025-02-01 23:33:16,
10,EduToys Comprehensive Language Learning,Books,Educational,EduToys,34.38,26.55,2025-01-13 23:33:16,
11,StyleCo Modern Slim Fit Jeans,Clothing,Men,StyleCo,66.71,31.74,2024-11-14 23:33:16,Black
12,PowerFit Pro Composite Basketball,Sports,Team Sports,PowerFit,67.43,38.98,2024-12-31 23:33:16,Black
13,FurryFriends Engaging Durable Chew Toy,Pet Supplies,Toys,FurryFriends,19.55,10.49,2024-12-01 23:33:16,Orange
14,FashionLine Designer Wool Coat,Clothing,Women,FashionLine,291.96,112.0,2025-07-06 23:33:16,Black
15,SportsPro Pro Exercise Bike,Sports,Fitness,SportsPro,480.0,260.48,2025-01-27 23:33:16,Blue
16,ComfortLiving Plush Cooling Mattress Topper,Home & Garden,Bedding,ComfortLiving,213.05,108.83,2025-05-19 23:33:16,Beige
17,TrendSet Glowing Eyeshadow Palette,Health & Beauty,Makeup,TrendSet,29.12,9.13,2024-07-06 23:33:16,Smoky
18,ReadWell Publishing Advanced Language Arts Study Guide,Books,Workbooks & Study Guides,ReadWell Publishing,17.82,12.51,2025-06-14 23:33:16,
19,PureLiving Modern Storage Ottoman,Home & Garden,Furniture,PureLiving,202.72,123.06,2024-09-02 23:33:16,Black
20,TechPro Elite DSLR Camera,Electronics,Cameras,TechPro,960.49,667.68,2024-10-06 23:33:16,Silver
21,UrbanWear Performance Moisture-Wicking Shorts,Sports,Athletic Wear,UrbanWear,30.68,12.72,2024-10-05 23:33:16,Black
22,PowerFit Pro Inflatable Paddleboard,Sports,Outdoor,PowerFit,688.93,394.54,2024-07-14 23:33:16,Blue
23,StyleCo Classic Lightweight Jacket,Clothing,Men,StyleCo,68.98,28.36,2024-12-19 23:33:16,Charcoal
24,UrbanWear Signature Performance Polo,Clothing,Men,UrbanWear,42.47,20.78,2025-08-09 23:33:16,Charcoal
25,SmartTech Fast USB-C Hub,Electronics,Accessories,SmartTech,30.68,18.5,2024-08-19 23:33:16,Gray
26,ActiveWear Classic Casual Button-Up,Clothing,Men,ActiveWear,73.61,33.11,2025-04-08 23:33:16,Beige
27,TrendSet Designer Silk Blouse,Clothing,Women,TrendSet,126.43,65.97,2024-12-23 23:33:16,Navy
28,LifestyleCo Premium Organic Sheet Set,Home & Garden,Bedding,LifestyleCo,118.73,67.23,2025-05-07 23:33:16,Beige
29,FashionLine Comfortable Rain Jacket,Clothing,Kids,FashionLine,80.64,46.94,2024-10-26 23:33:16,Orange
30,ToyBox Ultimate Cooperative Adventure Game,Toys,Board Games,ToyBox,58.1,30.97,2024-08-13 23:33:16,Purple
31,ElectroMax Premium Smart Home Hub,Electronics,Accessories,ElectroMax,193.66,118.57,2025-03-29 23:33:16,White
32,ToyBox Premium Water Blaster Pack,Toys,Outdoor,ToyBox,37.77,22.07,2024-11-03 23:33:16,Green
33,ComfortLiving Premium Weighted Blanket,Home & Garden,Bedding,ComfortLiving,177.66,80.0,2024-10-31 23:33:16,Sage
34,AthleticEdge Premium Trail Shoes,Clothing,Shoes,AthleticEdge,82.72,41.46,2025-02-25 23:33:16,Brown
35,PureBeauty Premium Longwear Foundation,Health & Beauty,Makeup,PureBeauty,35.18,14.56,2024-10-07 23:33:16,Various Shades
36,CozyHome Vintage Glass Table Lamp,Home & Garden,Decor,CozyHome,43.57,19.42,2025-01-02 23:33:16,Black
37,StyleCo Luxury Aviator Sunglasses,Clothing,Accessories,StyleCo,125.6,51.88,2024-11-08 23:33:16,Gold
38,ElectroMax Max Flagship Smartphone,Electronics,Phones,ElectroMax,1007.46,664.72,2024-11-08 23:33:16,Blue
39,ReadWell Publishing Essential Language Learning,Books,Educational,ReadWell Publishing,17.34,14.39,2024-09-18 23:33:16,
40,ByteWave Plus Kids Tablet,Electronics,Tablets,ByteWave,108.3,72.97,2024-12-06 23:33:16,Red
41,ElectroMax Air Kids Tablet,Electronics,Tablets,ElectroMax,116.26,94.65,2025-01-09 23:33:16,Yellow
42,StyleCo Premium High-Rise Leggings,Clothing,Women,StyleCo,27.89,13.08,2024-10-25 23:33:16,Black
43,WhiskerWorks Comfortable Adjustable Harness,Pet Supplies,Accessories,WhiskerWorks,20.88,9.0,2024-11-27 23:33:16,Red
44,UrbanWear Premium Running Sneakers,Clothing,Shoes,UrbanWear,65.69,28.17,2025-07-30 23:33:16,White
45,TechPro Wireless Soundbar,Electronics,Audio,TechPro,158.95,93.25,2024-11-17 23:33:16,Gray
46,TechPro Pro Portable Charger,Electronics,Accessories,TechPro,141.56,97.77,2025-01-08 23:33:16,Black
47,LifestyleCo Essential Aviator Sunglasses,Clothing,Accessories,LifestyleCo,169.63,51.58,2024-06-30 23:33:16,Brown
48,EduToys Advanced Reference Guides,Books,Educational,EduToys,25.67,18.98,2025-04-05 23:33:16,
49,ComfortLiving Luxury Sectional Sofa,Home & Garden,Furniture,ComfortLiving,2003.56,1338.26,2024-09-13 23:33:16,Cream
50,ClassicFit Elite Lightweight Jacket,Clothing,Men,ClassicFit,79.9,38.29,2024-09-06 23:33:16,Charcoal
51,TailTreats Veterinary Dental Care Kit,Pet Supplies,Health,TailTreats,24.27,15.66,2024-09-26 23:33:16,
52,PetNest Safe Adjustable Harness,Pet Supplies,Accessories,PetNest,37.28,19.23,2025-02-28 23:33:16,Black
53,PureLiving Premium Ergonomic Desk Chair,Home & Garden,Furniture,PureLiving,202.13,116.1,2024-12-31 23:33:16,Blue
54,TechPro Smart USB-C Hub,Electronics,Accessories,TechPro,26.83,16.14,2025-02-20 23:33:16,Black
55,CozyHome Premium Decorative Mirror,Home & Garden,Decor,CozyHome,153.03,57.36,2025-01-09 23:33:16,White
56,ClassicFit Classic Woven Belt,Clothing,Accessories,ClassicFit,37.86,14.53,2025-01-11 23:33:16,Brown
57,GlowLabs Signature Aromatic Body Mist,Health & Beauty,Fragrances,GlowLabs,19.18,4.33,2025-04-30 23:33:16,
58,AthleticEdge Pro Running Sneakers,Clothing,Shoes,AthleticEdge,136.58,76.08,2025-08-09 23:33:16,Red
59,GardenPro Heavy-Duty Multi-Tool Set,Home & Garden,Tools,GardenPro,47.36,25.02,2025-02-02 23:33:16,Silver
